Q4,Q5_1,Q5_2,Q7,Q8,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q29_1,Q29_2,Q29_3,Q30
Indicate the Monthly Reporting Period (end date) that you are submitting now. *,Identify the Utility Service Provider: * - Type,Utility Service Provider,Does your customer classification structure and/or billing software allow you to distinguish between residential and non-residential account information?,Do you have water or wastewater customers?,"Total number of active customer accounts on the last day of the Monthly Reporting Period: Water, Residential","Total number of active customer accounts on the last day of the Monthly Reporting Period: Water, Non-Residential","Total number of active customer accounts on the last day of the Monthly Reporting Period: Wastewater, Residential","Total number of active customer accounts on the last day of the Monthly Reporting Period: Wastewater, Non-Residential",Total number of active customer accounts on the last day of the Monthly Reporting Period: Water,Total number of active customer accounts on the last day of the Monthly Reporting Period: Wastewater,Total number of active customer accounts on the last day of the Monthly Reporting Period: Residential,Total number of active customer accounts on the last day of the Monthly Reporting Period: Non-Residential,Total number of active customer accounts on the last day of the Monthly Reporting Period: Total,"Total number of active customer accounts considered past due or delinquent on the last day of the Monthly Reporting Period: Water, Residential","Total number of active customer accounts considered past due or delinquent on the last day of the Monthly Reporting Period: Water, Non-Residential","Total number of active customer accounts considered past due or delinquent on the last day of the Monthly Reporting Period: Wastewater, Residential","Total number of active customer accounts considered past due or delinquent on the last day of the Monthly Reporting Period: Wastewater, Non-Residential",Total number of active customer accounts considered past due or delinquent on the last day of the Monthly Reporting Period: Water,Total number of active customer accounts considered past due or delinquent on the last day of the Monthly Reporting Period: Wastewater,Total number of active customer accounts considered past due or delinquent on the last day of the Monthly Reporting Period: Residential,Total number of active customer accounts considered past due or delinquent on the last day of the Monthly Reporting Period: Non-Residential,Total number of active customer accounts considered past due or delinquent on the last day of the Monthly Reporting Period: Total,"Total accounts receivable balance more than 30 days old as of the last day of the Monthly Reporting Period for active accounts: Water, Residential","Total accounts receivable balance more than 30 days old as of the last day of the Monthly Reporting Period for active accounts: Water, Non-Residential","Total accounts receivable balance more than 30 days old as of the last day of the Monthly Reporting Period for active accounts: Wastewater, Residential","Total accounts receivable balance more than 30 days old as of the last day of the Monthly Reporting Period for active accounts: Wastewater, Non-Residential",Total accounts receivable balance more than 30 days old as of the last day of the Monthly Reporting Period for active accounts: Water,Total accounts receivable balance more than 30 days old as of the last day of the Monthly Reporting Period for active accounts: Wastewater,Total accounts receivable balance more than 30 days old as of the last day of the Monthly Reporting Period for active accounts: Residential,Total accounts receivable balance more than 30 days old as of the last day of the Monthly Reporting Period for active accounts: Non-Residential,Total accounts receivable balance more than 30 days old as of the last day of the Monthly Reporting Period for active accounts: Total,"Number of customer accounts enrolled in a repayment plan on the last day of the Monthly Reporting Period: Water, Residential","Number of customer accounts enrolled in a repayment plan on the last day of the Monthly Reporting Period: Water, Non-Residential","Number of customer accounts enrolled in a repayment plan on the last day of the Monthly Reporting Period: Wastewater, Residential","Number of customer accounts enrolled in a repayment plan on the last day of the Monthly Reporting Period: Wastewater, Non-Residential",Number of customer accounts enrolled in a repayment plan on the last day of the Monthly Reporting Period: Water,Number of customer accounts enrolled in a repayment plan on the last day of the Monthly Reporting Period: Wastewater,Number of customer accounts enrolled in a repayment plan on the last day of the Monthly Reporting Period: Residential,Number of customer accounts enrolled in a repayment plan on the last day of the Monthly Reporting Period: Non-Residential,Number of customer accounts enrolled in a repayment plan on the last day of the Monthly Reporting Period: Total,"Number of customer accounts enrolled in a repayment plan that are up to date on their payments (in good standing) as of the last day of the Monthly Reporting Period: Water, Residential","Number of customer accounts enrolled in a repayment plan that are up to date on their payments (in good standing) as of the last day of the Monthly Reporting Period: Water, Non-Residential","Number of customer accounts enrolled in a repayment plan that are up to date on their payments (in good standing) as of the last day of the Monthly Reporting Period: Wastewater, Residential","Number of customer accounts enrolled in a repayment plan that are up to date on their payments (in good standing) as of the last day of the Monthly Reporting Period: Wastewater, Non-Residential",Number of customer accounts enrolled in a repayment plan that are up to date on their payments (in good standing) as of the last day of the Monthly Reporting Period: Water,Number of customer accounts enrolled in a repayment plan that are up to date on their payments (in good standing) as of the last day of the Monthly Reporting Period: Wastewater,Number of customer accounts enrolled in a repayment plan that are up to date on their payments (in good standing) as of the last day of the Monthly Reporting Period: Residential,Number of customer accounts enrolled in a repayment plan that are up to date on their payments (in good standing) as of the last day of the Monthly Reporting Period: Non-Residential,Number of customer accounts enrolled in a repayment plan that are up to date on their payments (in good standing) as of the last day of the Monthly Reporting Period: Total,"Total balance remaining on all repayment plans for customer accounts on the last day of the Monthly Reporting Period: Water, Residential","Total balance remaining on all repayment plans for customer accounts on the last day of the Monthly Reporting Period: Water, Non-Residential","Total balance remaining on all repayment plans for customer accounts on the last day of the Monthly Reporting Period: Wastewater, Residential","Total balance remaining on all repayment plans for customer accounts on the last day of the Monthly Reporting Period: Wastewater, Non-Residential",Total balance remaining on all repayment plans for customer accounts on the last day of the Monthly Reporting Period: Water,Total balance remaining on all repayment plans for customer accounts on the last day of the Monthly Reporting Period: Wastewater,Total balance remaining on all repayment plans for customer accounts on the last day of the Monthly Reporting Period: Residential,Total balance remaining on all repayment plans for customer accounts on the last day of the Monthly Reporting Period: Non-Residential,Total balance remaining on all repayment plans for customer accounts on the last day of the Monthly Reporting Period: Total,"Total number of customer accounts disconnected for non-payment during the Monthly Reporting Period (month leading up to end of the reporting month): Water, Residential","Total number of customer accounts disconnected for non-payment during the Monthly Reporting Period (month leading up to end of the reporting month): Water, Non-Residential","Total number of customer accounts disconnected for non-payment during the Monthly Reporting Period (month leading up to end of the reporting month): Wastewater, Residential","Total number of customer accounts disconnected for non-payment during the Monthly Reporting Period (month leading up to end of the reporting month): Wastewater, Non-Residential",Total number of customer accounts disconnected for non-payment during the Monthly Reporting Period (month leading up to end of the reporting month): Water,Total number of customer accounts disconnected for non-payment during the Monthly Reporting Period (month leading up to end of the reporting month): Wastewater,Total number of customer accounts disconnected for non-payment during the Monthly Reporting Period (month leading up to end of the reporting month): Residential,Total number of customer accounts disconnected for non-payment during the Monthly Reporting Period (month leading up to end of the reporting month): Non-Residential,Total number of customer accounts disconnected for non-payment during the Monthly Reporting Period (month leading up to end of the reporting month): Total,"Total number of customer accounts reconnected during the Monthly Reporting Period (month leading up to end of the reporting month) that were previously disconnected for non-payment: Water, Residential","Total number of customer accounts reconnected during the Monthly Reporting Period (month leading up to end of the reporting month) that were previously disconnected for non-payment: Water, Non-Residential","Total number of customer accounts reconnected during the Monthly Reporting Period (month leading up to end of the reporting month) that were previously disconnected for non-payment: Wastewater, Residential","Total number of customer accounts reconnected during the Monthly Reporting Period (month leading up to end of the reporting month) that were previously disconnected for non-payment: Wastewater, Non-Residential",Total number of customer accounts reconnected during the Monthly Reporting Period (month leading up to end of the reporting month) that were previously disconnected for non-payment: Water,Total number of customer accounts reconnected during the Monthly Reporting Period (month leading up to end of the reporting month) that were previously disconnected for non-payment: Wastewater,Total number of customer accounts reconnected during the Monthly Reporting Period (month leading up to end of the reporting month) that were previously disconnected for non-payment: Residential,Total number of customer accounts reconnected during the Monthly Reporting Period (month leading up to end of the reporting month) that were previously disconnected for non-payment: Non-Residential,Total number of customer accounts reconnected during the Monthly Reporting Period (month leading up to end of the reporting month) that were previously disconnected for non-payment: Total,"Number of customer accounts disconnected and reconnected within 24 hours during the Monthly Reporting Period (month leading up to end of the reporting month): Water, Residential","Number of customer accounts disconnected and reconnected within 24 hours during the Monthly Reporting Period (month leading up to end of the reporting month): Water, Non-Residential","Number of customer accounts disconnected and reconnected within 24 hours during the Monthly Reporting Period (month leading up to end of the reporting month): Wastewater, Residential","Number of customer accounts disconnected and reconnected within 24 hours during the Monthly Reporting Period (month leading up to end of the reporting month): Wastewater, Non-Residential",Number of customer accounts disconnected and reconnected within 24 hours during the Monthly Reporting Period (month leading up to end of the reporting month): Water,Number of customer accounts disconnected and reconnected within 24 hours during the Monthly Reporting Period (month leading up to end of the reporting month): Wastewater,Number of customer accounts disconnected and reconnected within 24 hours during the Monthly Reporting Period (month leading up to end of the reporting month): Residential,Number of customer accounts disconnected and reconnected within 24 hours during the Monthly Reporting Period (month leading up to end of the reporting month): Non-Residential,Number of customer accounts disconnected and reconnected within 24 hours during the Monthly Reporting Period (month leading up to end of the reporting month): Total,"Number of customer accounts that have been disconnected for at least 7 days as of the last day of the Monthly Reporting Period: Water, Residential","Number of customer accounts that have been disconnected for at least 7 days as of the last day of the Monthly Reporting Period: Water, Non-Residential","Number of customer accounts that have been disconnected for at least 7 days as of the last day of the Monthly Reporting Period: Wastewater, Residential","Number of customer accounts that have been disconnected for at least 7 days as of the last day of the Monthly Reporting Period: Wastewater, Non-Residential",Number of customer accounts that have been disconnected for at least 7 days as of the last day of the Monthly Reporting Period: Water,Number of customer accounts that have been disconnected for at least 7 days as of the last day of the Monthly Reporting Period: Wastewater,Number of customer accounts that have been disconnected for at least 7 days as of the last day of the Monthly Reporting Period: Residential,Number of customer accounts that have been disconnected for at least 7 days as of the last day of the Monthly Reporting Period: Non-Residential,Number of customer accounts that have been disconnected for at least 7 days as of the last day of the Monthly Reporting Period: Total,"Pursuant to the Commission’s July 29, 2020 Order, please confirm that the Utility Service Provider is: Informing customers about required payment plan options (see Ordering Paragraph No. 4)","Pursuant to the Commission’s July 29, 2020 Order, please confirm that the Utility Service Provider is: Informing customers about the Federal Low-Income Home Energy Assistance Program (LIHEAP) (if applicable)","Pursuant to the Commission’s July 29, 2020 Order, please confirm that the Utility Service Provider is: Informing customers about the North Carolina Department of Health and Human Services’ Crisis Intervention Program (if applicable)",Other information the Utility Service Provider would like to share at this time:
02/28/22,Water/Sewer,"OLD NORTH STATE WATER COMPANY, LLC (Docket Number W-1300)",Yes,Both water and wastewater customers,1871,0,4164,24,,,,,,87,0,330,0,,,,,,34,0,591,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,Yes,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Water/Sewer,"OLD NORTH UTILITY SERVICES, INC. (Docket Number W-1279)",No,Both water and wastewater customers,,,,,2,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Natural Gas,Frontier Natural Gas Company (Docket Number G-40),Yes,,,,,,,,2707,1922,,,,,,,,274,75,,,,,,,,22231.48,81836.07,,,,,,,,1,0,,,,,,,,1,0,,,,,,,,373.77,0,,,,,,,,3,5,,,,,,,,0,0,,,,,,,,0,1,,,,,,,,0,0,,Yes,Yes,Yes,
03/31/22,Water/Sewer,"JL GOLF MANAGEMENT, LLC (Docket Number W-1296)",No,Both water and wastewater customers,,,,,267,209,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Natural Gas,"Piedmont Natural Gas Company, Inc. (Docket Number G-9)",Yes,,,,,,,,720108,74441,,,,,,,,94187,4757,,,,,,,,24290259.09,5220259.56,,,,,,,,9535,144,,,,,,,,3577,38,,,,,,,,3305082.34,429465.41,,,,,,,,2114,252,,,,,,,,701,87,,,,,,,,155,14,,,,,,,,8934,1059,,Yes,Yes,Yes,
03/31/22,Water/Sewer,"ALBEMARLE PLANTATION UTILITY COMPANY, INC. (Docket Number W-1189)",Yes,Wastewater only,,,,,,,513,9,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,,,,,,,0,0,,Not Applicable / Don't Know,Not Applicable / Don't Know,Not Applicable / Don't Know,
03/31/22,Natural Gas,"Public Service Company of North Carolina, Inc. (Docket Number G-5)",Yes,,,,,,,,578469,55929,,,,,,,,49622,2963,,,,,,,,8002000,1061000,,,,,,,,13806,183,,,,,,,,12234,136,,,,,,,,2061000,210000,,,,,,,,3340,191,,,,,,,,2704,77,,,,,,,,1013,33,,,,,,,,122,5,,Yes,Yes,Yes,"""Payment arrangements available to include Equal Payment Plan (Budget Bill), short-term and deferred payment plans
Data provided represents 03/01/2022 through 03/31/2022""
"
03/31/22,Electric,"Duke Energy Progress, LLC (Docket Number E-2)",Yes,,,,,,,,1284168,221529,,,,,,,,206142,21467,,,,,,,,81730983,30434236,,,,,,,,46353,223,,,,,,,,46353,223,,,,,,,,30441435,439972,,,,,,,,81,3,,,,,,,,49,3,,,,,,,,41,0,,,,,,,,19,2,,Yes,Yes,Yes,
03/31/22,Electric,"Duke Energy Carolinas, LLC (Docket Number E-7 )",Yes,,,,,,,,1824835,313860,,,,,,,,381323,41108,,,,,,,,140569738,46524446,,,,,,,,76042,358,,,,,,,,76042,358,,,,,,,,56013465,751695,,,,,,,,426,544,,,,,,,,209,290,,,,,,,,190,282,,,,,,,,93,116,,Yes,Yes,Yes,
