timestamp,reporting_period,utility_name,residential_accounts,disconnections,disconnection_rate
1996-07-01,Jul 1996,Duke Energy Progress,,3865.0,
1996-07-01,Jul 1996,Duke Energy Carolinas,,4588.0,
1996-08-01,Aug 1996,Duke Energy Progress,,4038.0,
1996-08-01,Aug 1996,Duke Energy Carolinas,,4332.0,
1996-09-01,Sep 1996,Duke Energy Carolinas,,4144.0,
1996-09-01,Sep 1996,Duke Energy Progress,,504.0,
1996-10-01,Oct 1996,Duke Energy Carolinas,,4826.0,
1996-10-01,Oct 1996,Duke Energy Progress,,4065.0,
1996-11-01,Nov 1996,Duke Energy Carolinas,,4564.0,
1996-11-01,Nov 1996,Duke Energy Progress,,5313.0,
1996-12-01,Dec 1996,Duke Energy Carolinas,,2662.0,
1996-12-01,Dec 1996,Duke Energy Progress,,4556.0,
1997-01-01,Jan 1997,Duke Energy Carolinas,,4508.0,
1997-01-01,Jan 1997,Duke Energy Progress,,4488.0,
1997-02-01,Feb 1997,Duke Energy Progress,,4806.0,
1997-02-01,Feb 1997,Duke Energy Carolinas,,4853.0,
1997-03-01,Mar 1997,Duke Energy Progress,,4737.0,
1997-03-01,Mar 1997,Duke Energy Carolinas,,5973.0,
1997-04-01,Apr 1997,Duke Energy Progress,,5592.0,
1997-04-01,Apr 1997,Duke Energy Carolinas,,7304.0,
1997-05-01,May 1997,Duke Energy Progress,,4648.0,
1997-05-01,May 1997,Duke Energy Carolinas,,6353.0,
1997-06-01,Jun 1997,Duke Energy Progress,,4620.0,
1997-06-01,Jun 1997,Duke Energy Carolinas,,5491.0,
1997-07-01,Jul 1997,Duke Energy Carolinas,,5490.0,
1997-07-01,Jul 1997,Duke Energy Progress,,4463.0,
1997-08-01,Aug 1997,Duke Energy Carolinas,,5139.0,
1997-08-01,Aug 1997,Duke Energy Progress,,4353.0,
1997-09-01,Sep 1997,Duke Energy Progress,,5242.0,
1997-09-01,Sep 1997,Duke Energy Carolinas,,5898.0,
1997-10-01,Oct 1997,Duke Energy Progress,,6548.0,
1997-10-01,Oct 1997,Duke Energy Carolinas,,6801.0,
1997-11-01,Nov 1997,Duke Energy Progress,,5436.0,
1997-11-01,Nov 1997,Duke Energy Carolinas,,6274.0,
1997-12-01,Dec 1997,Duke Energy Carolinas,,4762.0,
1997-12-01,Dec 1997,Duke Energy Progress,,3622.0,
1998-01-01,Jan 1998,Duke Energy Carolinas,,5408.0,
1998-01-01,Jan 1998,Duke Energy Progress,,5623.0,
1998-02-01,Feb 1998,Duke Energy Progress,,5559.0,
1998-02-01,Feb 1998,Duke Energy Carolinas,,6304.0,
1998-03-01,Mar 1998,Duke Energy Carolinas,,7685.0,
1998-03-01,Mar 1998,Duke Energy Progress,,5664.0,
1998-04-01,Apr 1998,Duke Energy Carolinas,,7356.0,
1998-04-01,Apr 1998,Duke Energy Progress,,6516.0,
1998-05-01,May 1998,Duke Energy Progress,,8405.0,
1998-05-01,May 1998,Duke Energy Carolinas,,6116.0,
1998-06-01,Jun 1998,Duke Energy Carolinas,,4906.0,
1998-06-01,Jun 1998,Duke Energy Progress,,5961.0,
1998-07-01,Jul 1998,Duke Energy Progress,,4558.0,
1998-07-01,Jul 1998,Duke Energy Carolinas,,4656.0,
1998-08-01,Aug 1998,Duke Energy Progress,,3845.0,
1998-08-01,Aug 1998,Duke Energy Carolinas,,5411.0,
1998-09-01,Sep 1998,Duke Energy Progress,,8091.0,
1998-09-01,Sep 1998,Duke Energy Carolinas,,5702.0,
1998-10-01,Oct 1998,Duke Energy Carolinas,,5842.0,
1998-10-01,Oct 1998,Duke Energy Progress,,7134.0,
1998-11-01,Nov 1998,Duke Energy Carolinas,,,
1998-11-01,Nov 1998,Duke Energy Progress,,6094.0,
1998-12-01,Dec 1998,Duke Energy Carolinas,,,
1998-12-01,Dec 1998,Duke Energy Progress,,5319.0,
1999-01-01,Jan 1999,Duke Energy Progress,,4825.0,
1999-01-01,Jan 1999,Duke Energy Carolinas,,4504.0,
1999-02-01,Feb 1999,Duke Energy Progress,,4882.0,
1999-02-01,Feb 1999,Duke Energy Carolinas,,,
1999-03-01,Mar 1999,Duke Energy Carolinas,,,
1999-03-01,Mar 1999,Duke Energy Progress,,5579.0,
1999-04-01,Apr 1999,Duke Energy Progress,,6730.0,
1999-04-01,Apr 1999,Duke Energy Carolinas,,,
1999-05-01,May 1999,Duke Energy Progress,,5963.0,
1999-05-01,May 1999,Duke Energy Carolinas,,6483.0,
1999-06-01,Jun 1999,Duke Energy Progress,,6241.0,
1999-06-01,Jun 1999,Duke Energy Carolinas,,6743.0,
1999-07-01,Jul 1999,Duke Energy Carolinas,,4469.0,
1999-07-01,Jul 1999,Duke Energy Progress,,3454.0,
1999-08-01,Aug 1999,Duke Energy Progress,,594.0,
1999-08-01,Aug 1999,Duke Energy Carolinas,,7045.0,
1999-09-01,Sep 1999,Duke Energy Progress,,,
1999-09-01,Sep 1999,Duke Energy Carolinas,,5167.0,
1999-10-01,Oct 1999,Duke Energy Progress,,6846.0,
1999-10-01,Oct 1999,Duke Energy Carolinas,,,
1999-11-01,Nov 1999,Duke Energy Progress,,7610.0,
1999-11-01,Nov 1999,Duke Energy Carolinas,,6329.0,
1999-12-01,Dec 1999,Duke Energy Progress,,6832.0,
1999-12-01,Dec 1999,Duke Energy Carolinas,,5516.0,
2000-01-01,Jan 2000,Dominion Energy,,,
2000-01-01,Jan 2000,Duke Energy Progress,,3714.0,
2000-01-01,Jan 2000,Duke Energy Carolinas,,3221.0,
2000-02-01,Feb 2000,Duke Energy Carolinas,,13275.0,
2000-02-01,Feb 2000,Duke Energy Progress,,3472.0,
2000-02-01,Feb 2000,Dominion Energy,,,
2000-03-01,Mar 2000,Dominion Energy,,,
2000-03-01,Mar 2000,Duke Energy Progress,,985.0,
2000-03-01,Mar 2000,Duke Energy Carolinas,,7426.0,
2000-04-01,Apr 2000,Dominion Energy,,,
2000-04-01,Apr 2000,Duke Energy Carolinas,,13856.0,
2000-04-01,Apr 2000,Duke Energy Progress,,6466.0,
2000-05-01,May 2000,Duke Energy Progress,,6652.0,
2000-05-01,May 2000,Duke Energy Carolinas,,14453.0,
2000-05-01,May 2000,Dominion Energy,,,
2000-06-01,Jun 2000,Dominion Energy,,,
