reporting_period,utility_type,service_provider,residential_accounts,total_arrears_thirty_days,residential_repayment_plan_accounts,residential_good_standing_repayment_plan_accounts,repayment_plan_balance,residential_accounts_disconnected_for_nonpayment,residential_accounts_reconnected,residential_accounts_reconnected_<24h,residential_accounts_disconnected_>7d,vulnerable_customer_accounts,past_due_accounts,thirty_days_balances_no_rp,total_arrears_thirty_days_no_rp,thirty_days_balances_rp,total_arrears_thirty_days_rp,sixty_days_balances_no_rp,total_arrears_sixty_days_no_rp,sixty_days_balances_rp,total_arrears_sixty_days_rp,notified_accounts,vulnerable_disconnections,residential_accounts_reconnected_24h_to_48h,residential_accounts_reconnected_>48h,multi_disconnections,avg_reconnection_time,thirty_days_balances,sixty_days_balances,long_term_arrears_ratio,sixty_days_arrears_rp_ratio,thirty_days_arrears_rp_ratio,rp_balance_per_account,account_disconnection_rate,>24h_disconnection_rate,total_arrears_sixty_days,thirty_day_arrear_account_ratio,sixty_day_arrear_account_ratio,rp_balance_per_all_account,average_arrears_thirty_days,average_arrears_sixty_days,average_thirty_day_arrear_balance,average_sixty_day_arrear_balance,total_arrears
2020-08-31,Electric,Dominion Energy,104772.0,8173484.0,832.0,832.0,1641775.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1973.2872596153845,0.0,,,,,15.66997862024205,78.01210247012561,,,,
2020-08-31,Electric,Duke Energy Carolinas,1816527.0,96703286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,53.2352593713168,,,,
2020-08-31,Electric,Duke Energy Progress,1241513.0,74279244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,59.82961434958796,,,,
2020-08-31,Electric,Total,3162812.0,179156014.0,832.0,832.0,1641775.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1973.2872596153845,0.0,,,,,0.5190871287955149,56.644534673575286,,,,
2020-09-30,Electric,Dominion Energy,104874.0,9037986.06,873.0,873.0,2000303.99,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2291.2989576174114,0.0,,,,,19.073402273204035,86.1794730819841,,,,
2020-09-30,Electric,Duke Energy Carolinas,1806243.0,116083030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,64.2676705183079,,,,
2020-09-30,Electric,Duke Energy Progress,1243743.0,70537715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,56.714059898226566,,,,
2020-09-30,Electric,Total,3154860.0,195658731.06,873.0,873.0,2000303.99,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,2291.2989576174114,0.0,,,,,0.6340389082241368,62.01819765694833,,,,
2020-10-31,Electric,Dominion Energy,104921.0,10191863.41,4944.0,4944.0,5759074.35,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1164.8613167475728,0.0,,,,,54.88962505122902,97.13845092974715,,,,
2020-10-31,Electric,Duke Energy Carolinas,1811645.0,119195324.0,53359.0,53359.0,45036894.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,844.0355703817538,0.0,,,,,24.85966842289742,65.79397398496945,,,,
2020-10-31,Electric,Duke Energy Progress,1246293.0,51202712.0,50683.0,37662.0,4995092.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,98.55557090148571,0.0,,,,,4.007959605004602,41.084008335118625,,,,
2020-10-31,Electric,Total,3162859.0,180589899.41,108986.0,95965.0,55791060.35,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,511.9103403189401,0.0,,,,,17.63943961776355,57.0970439750871,,,,
2020-11-30,Electric,Dominion Energy,104921.0,11080488.42,7001.0,7001.0,7797554.2,5.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,1113.7772032566777,4.765490225979546e-05,0.8,,,,74.31833665329152,105.6079185291791,,,,
2020-11-30,Electric,Duke Energy Carolinas,1830590.0,92660457.0,85936.0,85936.0,53000826.0,4185.0,2799.0,2139.0,0.0,,,,,,,,,,,,,,,,,,,,,,616.747649413517,0.002286148181733758,0.48888888888888893,,,,28.952865469602695,50.61781010493885,,,,
2020-11-30,Electric,Duke Energy Progress,1245416.0,27383285.0,71433.0,50951.0,6542737.0,12776.0,10549.0,9586.0,261.0,,,,,,,,,,,,,,,,,,,,,,91.5926392563661,0.010258419676638167,0.24968691296180334,,,,5.253455070434296,21.987259678693704,,,,
2020-11-30,Electric,Total,3180927.0,131124230.42,164370.0,143888.0,67341117.2,16966.0,13349.0,11726.0,261.0,,,,,,,,,,,,,,,,,,,,,,409.6922625783294,0.00533366531203011,0.30885300011788286,,,,21.17028061316717,41.22201811610263,,,,
2020-12-31,Electric,Dominion Energy,105087.0,10677485.43,7552.0,7552.0,7541551.47,22.0,10.0,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,998.616455243644,0.0002093503478070551,0.6363636363636364,,,,71.76483742042308,101.60614947614833,,,,
2020-12-31,Electric,Duke Energy Carolinas,1829121.0,97117464.0,88318.0,88318.0,48519583.0,5547.0,4102.0,3123.0,0.0,,,,,,,,,,,,,,,,,,,,,,549.3736610883399,0.0030326041852889994,0.4369929691725257,,,,26.526174594244996,53.095155541924235,,,,
2020-12-31,Electric,Duke Energy Progress,1247906.0,22790517.0,81542.0,59251.0,8209797.0,6309.0,6119.0,4309.0,585.0,,,,,,,,,,,,,,,,,,,,,,100.68182041156705,0.00505566925713956,0.31700744967506733,,,,6.578858503765508,18.2630077906509,,,,
2020-12-31,Electric,Total,3182114.0,130585466.43,177412.0,155121.0,64270931.47,11878.0,10231.0,7440.0,597.0,,,,,,,,,,,,,,,,,,,,,,362.2693587243253,0.0037327386762385007,0.37363192456642536,,,,20.19755780905398,41.03733129297065,,,,
2021-01-31,Electric,Dominion Energy,105170.0,9501893.81,7503.0,7503.0,7419631.87,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,988.8886938557911,1.9016829894456594e-05,0.5,,,,70.54893857563944,90.34794912998004,,,,
2021-01-31,Electric,Duke Energy Carolinas,1824852.0,82776274.0,84616.0,84616.0,30863512.0,9313.0,6774.0,5729.0,0.0,,,,,,,,,,,,,,,,,,,,,,364.7479436513189,0.00510342756563272,0.3848383979383657,,,,16.912884990125228,45.3605410192169,,,,
2021-01-31,Electric,Duke Energy Progress,1249692.0,22959641.0,69272.0,49452.0,6221586.0,7248.0,7079.0,6395.0,1411.0,,,,,,,,,,,,,,,,,,,,,,89.81386418755052,0.005799829077884791,0.11768763796909487,,,,4.978495501291518,18.372239719866975,,,,
