utility_name,year,month,disconnections,disconnection_rate
Duke Energy Carolinas,1996,July,4588,
Duke Energy Carolinas,1996,August,4332,
Duke Energy Carolinas,1996,September,4144,
Duke Energy Carolinas,1996,October,4826,
Duke Energy Carolinas,1996,November,4564,
Duke Energy Carolinas,1996,December,2662,
Duke Energy Carolinas,1997,January,4508,
Duke Energy Carolinas,1997,February,4853,
Duke Energy Carolinas,1997,March,5973,
Duke Energy Carolinas,1997,April,7304,
Duke Energy Carolinas,1997,May,6353,
Duke Energy Carolinas,1997,June,5491,
Duke Energy Carolinas,1997,July,5490,
Duke Energy Carolinas,1997,August,5139,
Duke Energy Carolinas,1997,September,5898,
Duke Energy Carolinas,1997,October,6801,
Duke Energy Carolinas,1997,November,6274,
Duke Energy Carolinas,1997,December,4762,
Duke Energy Carolinas,1998,January,5408,
Duke Energy Carolinas,1998,February,6304,
Duke Energy Carolinas,1998,March,7685,
Duke Energy Carolinas,1998,April,7356,
Duke Energy Carolinas,1998,May,6116,
Duke Energy Carolinas,1998,June,4906,
Duke Energy Carolinas,1998,July,4656,
Duke Energy Carolinas,1998,August,5411,
Duke Energy Carolinas,1998,September,5702,
Duke Energy Carolinas,1998,October,5842,
Duke Energy Carolinas,1998,November,,
Duke Energy Carolinas,1998,December,,
Duke Energy Carolinas,1999,January,4504,
Duke Energy Carolinas,1999,February,,
Duke Energy Carolinas,1999,March,,
Duke Energy Carolinas,1999,April,,
Duke Energy Carolinas,1999,May,6483,
Duke Energy Carolinas,1999,June,6743,
Duke Energy Carolinas,1999,July,4469,
Duke Energy Carolinas,1999,August,7045,
Duke Energy Carolinas,1999,September,5167,
Duke Energy Carolinas,1999,October,,
Duke Energy Carolinas,1999,November,6329,
Duke Energy Carolinas,1999,December,5516,
Duke Energy Carolinas,2000,January,3221,
Duke Energy Carolinas,2000,February,13275,
Duke Energy Carolinas,2000,March,7426,
Duke Energy Carolinas,2000,April,13856,
Duke Energy Carolinas,2000,May,14453,
Duke Energy Carolinas,2000,June,7952,
Duke Energy Carolinas,2000,July,7380,
Duke Energy Carolinas,2000,August,12038,
Duke Energy Carolinas,2000,September,12722,
Duke Energy Carolinas,2000,October,15999,
Duke Energy Carolinas,2000,November,9946,
Duke Energy Carolinas,2000,December,7556,
Duke Energy Carolinas,2001,January,140,
Duke Energy Carolinas,2001,February,18,
Duke Energy Carolinas,2001,March,16443,
Duke Energy Carolinas,2001,April,15357,
Duke Energy Carolinas,2001,May,14496,
Duke Energy Carolinas,2001,June,7905,
Duke Energy Carolinas,2001,July,7297,
Duke Energy Carolinas,2001,August,,
Duke Energy Carolinas,2001,September,8932,
Duke Energy Carolinas,2001,October,16084,
Duke Energy Carolinas,2001,November,12298,
Duke Energy Carolinas,2001,December,7968,
Duke Energy Carolinas,2002,January,10791,
Duke Energy Carolinas,2002,February,9773,
Duke Energy Carolinas,2002,March,17712,
Duke Energy Carolinas,2002,April,17652,
Duke Energy Carolinas,2002,May,13825,
Duke Energy Carolinas,2002,June,14411,
Duke Energy Carolinas,2002,July,10987,
Duke Energy Carolinas,2002,August,14947,
Duke Energy Carolinas,2002,September,17830,
Duke Energy Carolinas,2002,October,23107,
Duke Energy Carolinas,2002,November,14868,
Duke Energy Carolinas,2002,December,2005,
Duke Energy Carolinas,2003,January,15761,
Duke Energy Carolinas,2003,February,12646,
